情境,日文,振假名,羅馬拼音,中文翻譯,重點解析
便利商店,賞味期限はいつですか？,しょうみきげんはいつですか,Shōmikigen wa itsu desu ka,保存期限是什麼時候？,「賞味期限（しょうみきげん）」是「最佳賞味期」，「消費期限（しょうひきげん）」是「食用期限」。
便利商店,レシートをください。,れしーとをください,Reshīto o kudasai,請給我收銀收據。,「レシート」是收銀機列印的明細，「領収書（りょうしゅうしょ）」是正式抬頭收據，需另外要求。
便利商店,一緒に入れてください。,いっしょにいれてください,Issho ni irete kudasai,請幫我放在一起。,「一緒（いっしょ）に」是「一起」的意思，請收銀員把商品放進同一個袋子。
便利商店,別々に入れてください。,べつべつにいれてください,Betsubetsu ni irete kudasai,請分開放。,「別々（べつべつ）に」是「分開」，希望熱食冷飲分袋時使用。
便利商店,お箸をください。,おはしをください,Ohashi o kudasai,請給我筷子。,便利商店有時不自動附筷子，可以主動索取，也可換成「スプーン（湯匙）」或「フォーク（叉子）」。
便利商店,ありがとうございました。,ありがとうございました,Arigatō gozaimashita,謝謝您。,結帳後表達感謝，「ございました」是過去式，表達對已完成的服務的感謝，非常有禮貌。
詢問方向,すみません、ちょっとよろしいですか？,すみません、ちょっとよろしいですか,Sumimasen chotto yoroshii desu ka,不好意思，請問可以打擾一下嗎？,詢問路人前先禮貌地打招呼，「よろしいですか」是「いいですか（可以嗎）」的敬語。
詢問方向,〇〇はどこですか？,〇〇はどこですか,〇〇 wa doko desu ka,〇〇在哪裡？,最基本的問路句型，〇〇填入地名，如「駅（えき）＝車站」、「コンビニ＝便利商店」。
詢問方向,〇〇への行き方を教えてください。,〇〇へのいきかたをおしえてください,〇〇 e no ikikata o oshiete kudasai,請告訴我去〇〇的方法。,「行き方（いきかた）」是「去的方法＝路線」，「教えてください」表示請對方說明。
詢問方向,ここから遠いですか？,ここからとおいですか,Koko kara tōi desu ka,從這裡遠嗎？,「から」表示起點「從…」，「遠い（とおい）」表示遠，相反是「近い（ちかい）近」。
詢問方向,歩いて何分かかりますか？,あるいてなんぷんかかりますか,Aruite nan-pun kakarimasu ka,走路需要幾分鐘？,「歩いて（あるいて）」是步行，「かかります」是花費時間的意思，可換成「車で（くるまで）開車」。
詢問方向,まっすぐ行ってください。,まっすぐいってください,Massugu itte kudasai,請直走。,「まっすぐ」是「直直地」，是指路的關鍵詞之一。
詢問方向,右に曲がってください。,みぎにまがってください,Migi ni magatte kudasai,請右轉。,「右（みぎ）＝右、左（ひだり）＝左」，「曲がる（まがる）」是轉彎的意思。
詢問方向,左に曲がってください。,ひだりにまがってください,Hidari ni magatte kudasai,請左轉。,搭配手勢效果更佳，把右左方向詞熟記就能理解大部分指路說明。
詢問方向,信号を渡ってください。,しんごうをわたってください,Shingō o watatte kudasai,請過紅綠燈。,「信号（しんごう）」是紅綠燈，「渡る（わたる）」是橫越、穿越的意思。
詢問方向,角を曲がったところです。,かどをまがったところです,Kado o magatta tokoro desu,在轉角處。,「角（かど）」是轉角，「〜たところ」表示「剛做了…之後的地方」，是描述位置的常見句型。
詢問方向,地図を書いてもらえますか？,ちずをかいてもらえますか,Chizu o kaite moraemasu ka,可以幫我畫地圖嗎？,「〜てもらえますか」是比「ください」更有禮貌的請求方式，不太確定能不能麻煩對方時使用。
詢問方向,地下鉄の駅はどこですか？,ちかてつのえきはどこですか,Chikatetsu no eki wa doko desu ka,地鐵站在哪裡？,「の」連接兩個名詞，「地下鉄の駅」＝「地鐵的車站」，是名詞修飾的基本用法。
詢問方向,バス停はどこですか？,ばすていはどこですか,Basu tei wa doko desu ka,公車站在哪裡？,「バス停（ばすてい）」是公車停靠站，「停」念「てい」而非「とまり」。
詢問方向,この地図で見せてもらえますか？,このちずでみせてもらえますか,Kono chizu de misete moraemasu ka,可以用這張地圖指給我看嗎？,拿出地圖請對方指引，「で」表示用某工具，「見せる（みせる）」是「讓人看、指示」。
詢問方向,わかりました。,わかりました,Wakarimashita,我明白了。,表示已理解，是對方說完後重要的回應語，讓對方知道你聽懂了。
詢問方向,もう一度言ってください。,もういちどいってください,Mō ichido itte kudasai,請再說一次。,「もう一度（もういちど）」是「再一次」，聽不懂時使用，不要害怕開口請對方重複。
詢問方向,ゆっくり話してください。,ゆっくりはなしてください,Yukkuri hanashite kudasai,請說慢一點。,「ゆっくり」是「慢慢地、緩緩地」，語速太快時可以請對方放慢，不失禮。
詢問方向,すみません、道に迷いました。,すみません、みちにまよいました,Sumimasen michi ni mayoimashita,不好意思，我迷路了。,「道に迷う（みちにまよう）」是迷路的意思，日本人通常會熱心幫忙。
詢問方向,ここはどこですか？,ここはどこですか,Koko wa doko desu ka,這裡是哪裡？,完全搞不清楚自己在哪裡時使用，「ここ」是「這裡（指自己所在位置）」。
詢問方向,ありがとうございます。,ありがとうございます,Arigatō gozaimasu,非常感謝。,獲得幫助後的感謝語，也可加上「助かりました（たすかりました）」表示「幫了我大忙」。
搭乘電車,〇〇駅はどこですか？,〇〇えきはどこですか,〇〇-eki wa doko desu ka,〇〇車站在哪裡？,「駅（えき）」是車站，是在交通場所必備的單字，填入目的地名稱即可。
搭乘電車,〇〇まで一枚ください。,〇〇までいちまいください,〇〇 made ichimai kudasai,請給我到〇〇的一張票。,「まで」表示到達目的地，「一枚（いちまい）」是一張，票券等平面物品的數量詞為「枚（まい）」。
搭乘電車,〇〇まで何円ですか？,〇〇までなんえんですか,〇〇 made nan-en desu ka,到〇〇幾日圓？,「円（えん）」是日圓，「何円（なんえん）」是詢問金額的疑問句，非常常用。
搭乘電車,この電車は〇〇に止まりますか？,このでんしゃは〇〇にとまりますか,Kono densha wa 〇〇 ni tomarimasu ka,這班電車會停〇〇嗎？,「止まる（とまる）」是「停靠」，確認乘坐的電車是否停靠目的地站，非常重要。
搭乘電車,〇〇行きの電車は何番線ですか？,〇〇ゆきのでんしゃはなんばんせんですか,〇〇-yuki no densha wa nan-ban-sen desu ka,往〇〇的電車在幾號月台？,「〜行き（ゆき）」表示前往的方向，「番線（ばんせん）」是月台號碼。
搭乘電車,次の電車は何時ですか？,つぎのでんしゃはなんじですか,Tsugi no densha wa nanji desu ka,下一班電車幾點？,「次（つぎ）」是「下一個」，「何時（なんじ）」是詢問幾點的疑問詞。
搭乘電車,ここに座ってもいいですか？,ここにすわってもいいですか,Koko ni suwatte mo ii desu ka,我可以坐這裡嗎？,「〜てもいいですか」是詢問許可的標準句型，是日語中非常重要的句型之一。
搭乘電車,乗り換えはどこでしますか？,のりかえはどこでしますか,Norikae wa doko de shimasu ka,在哪裡換車？,「乗り換え（のりかえ）」是換乘，「で」表示在哪個地點進行某動作。
搭乘電車,〇〇で乗り換えてください。,〇〇でのりかえてください,〇〇 de norikaete kudasai,請在〇〇換車。,指示換乘站名，是問路後對方回答的常見格式，記住就能理解指示。
搭乘電車,終電は何時ですか？,しゅうでんはなんじですか,Shūden wa nanji desu ka,末班車幾點？,「終電（しゅうでん）」是末班車，在日本深夜活動前務必確認。
搭乘電車,〇〇駅まで何駅ありますか？,〇〇えきまでなんえきありますか,〇〇-eki made nan-eki arimasu ka,到〇〇站有幾站？,詢問中間站數，有助於不看地圖也知道距離，「何駅（なんえき）」意思是幾站。
搭乘電車,ICカードはここで使えますか？,あいしーかーどはここでつかえますか,Aishī kādo wa koko de tsukaemasu ka,這裡可以使用IC卡嗎？,ICカード（如Suica、PASMO）是日本交通卡，「使える（つかえる）」是可以使用的意思。
搭乘電車,改札はどこですか？,かいさつはどこですか,Kaisatsu wa doko desu ka,剪票口在哪裡？,「改札（かいさつ）」是驗票閘門，進出站時必經之處，旅遊必備詞彙。
搭乘電車,出口はどこですか？,でぐちはどこですか,Deguchi wa doko desu ka,出口在哪裡？,「出口（でぐち）」是出口，日本大站有多個出口號碼，如「1番出口（いちばんでぐち）」。
搭乘電車,遅延していますか？,ちえんしていますか,Chien shite imasu ka,誤點了嗎？,「遅延（ちえん）」是誤點延誤，「〜しています」表示正在進行的狀態。
搭乘電車,電車を乗り過ごしました。,でんしゃをのりすごしました,Densha o norisugoshimashita,我坐過站了。,「乗り過ごす（のりすごす）」是坐過站，向站員說明此情況有時可補票或退費。
搭乘電車,特急券はいりますか？,とっきゅうけんはいりますか,Tokkyūken wa irimasu ka,需要特急券嗎？,搭乘新幹線或特急列車除一般票外，通常還需購買「特急券（とっきゅうけん）」。
搭乘電車,〇〇まで何分かかりますか？,〇〇までなんぷんかかりますか,〇〇 made nan-pun kakarimasu ka,到〇〇需要幾分鐘？,「何分（なんぷん）」詢問幾分鐘，「かかります」是花費（時間或金錢）。
搭乘電車,自由席はありますか？,じゆうせきはありますか,Jiyūseki wa arimasu ka,有自由座嗎？,「自由席（じゆうせき）」是自由座（不對號），相對是「指定席（していせき）」對號座。
搭乘電車,禁煙車はどこですか？,きんえんしゃはどこですか,Kin-en-sha wa doko desu ka,禁菸車廂在哪裡？,「禁煙（きんえん）」是禁菸，「車（しゃ）」在此指車廂，選座時可詢問。
飯店住宿,チェックインをお願いします。,ちぇっくいんをおねがいします,Chekkuin o onegai shimasu,麻煩辦理入住。,到前台時的第一句話，「お願いします（おねがいします）」是萬用禮貌請求語。
飯店住宿,予約した〇〇です。,よやくした〇〇です,Yoyaku shita 〇〇 desu,我是預訂的〇〇。,「予約（よやく）」是預約，「〜した」表示已完成的動作，〇〇填入自己的姓名。
飯店住宿,何泊ですか？,なんぱくですか,Nan-paku desu ka,住幾晚？,「泊（はく）」是住宿晚數的計算單位，一晚＝一泊（いっぱく），兩晚＝二泊（にはく）。
飯店住宿,二泊します。,にはくします,Ni-haku shimasu,住兩晚。,「〜泊します（はくします）」直接表達住宿天數，比「〜日間います」更精確。
飯店住宿,朝食付きですか？,ちょうしょくつきですか,Chōshoku tsuki desu ka,有附早餐嗎？,「〜付き（つき）」表示附帶、含有，「朝食なし（なし）」表示不含早餐。
飯店住宿,チェックアウトは何時ですか？,ちぇっくあうとはなんじですか,Chekkuauto wa nanji desu ka,退房時間是幾點？,確認退房時間非常重要，通常是上午10點至12點，超時可能需另付費用。
飯店住宿,荷物を預かってもらえますか？,にもつをあずかってもらえますか,Nimotsu o azukatte moraemasu ka,可以幫我保管行李嗎？,「荷物（にもつ）」是行李，退房後繼續觀光時非常好用，大多數飯店提供免費保管。
飯店住宿,Wi-Fiのパスワードを教えてください。,わいふぁいのぱすわーどをおしえてください,Waifai no pasuwādo o oshiete kudasai,請告訴我Wi-Fi密碼。,現代旅遊必備，「教えてください」是請求對方告知的說法。
飯店住宿,タオルを追加でください。,たおるをついかでください,Taoru o tsuika de kudasai,請幫我補充毛巾。,「追加（ついか）で」是追加的意思，也可換成「枕（まくら）枕頭」、「毛布（もうふ）毯子」等。
飯店住宿,部屋を掃除してください。,へやをそうじしてください,Heya o sōji shite kudasai,請打掃房間。,「部屋（へや）」是房間，「掃除（そうじ）する」是打掃，有些飯店需主動要求才會清潔。
飯店住宿,エアコンの使い方を教えてください。,えあこんのつかいかたをおしえてください,Eakon no tsukaikata o oshiete kudasai,請教我冷氣的用法。,「使い方（つかいかた）」是「用法、使用方式」，詢問某物使用方法的固定說法。
飯店住宿,部屋の鍵をなくしました。,へやのかぎをなくしました,Heya no kagi o nakushimashita,我弄丟房間鑰匙了。,「なくす」是弄丟的意思，「なくしました」是過去式，向前台說明遺失情況。
飯店住宿,隣の部屋がうるさいです。,となりのへやがうるさいです,Tonari no heya ga urusai desu,隔壁房間很吵。,「隣（となり）」是隔壁，「うるさい」是吵鬧的意思，向前台投訴時使用。
飯店住宿,部屋を変えてもらえますか？,へやをかえてもらえますか,Heya o kaete moraemasu ka,可以幫我換房間嗎？,「〜てもらえますか」是禮貌請求，「変える（かえる）」是更換，有問題時可禮貌提出。
飯店住宿,近くにコンビニはありますか？,ちかくにこんびにはありますか,Chikaku ni konbini wa arimasu ka,附近有便利商店嗎？,「近く（ちかく）に」是「在附近」，也可換成「スーパー超市」、「薬局（やっきょく）藥局」。
飯店住宿,駅まで送迎はありますか？,えきまでそうげいはありますか,Eki made sōgei wa arimasu ka,有到車站的接送服務嗎？,「送迎（そうげい）」是接送服務，部分飯店提供免費接駁，提前詢問可節省交通費。
飯店住宿,モーニングコールをお願いします。,もーにんぐこーるをおねがいします,Mōningu kōru o onegai shimasu,麻煩叫醒服務。,可加說具體時間「〇時に（〇じに）在〇點」，如「7時にお願いします（7點叫我）」。
飯店住宿,チェックアウトをお願いします。,ちぇっくあうとをおねがいします,Chekkuauto o onegai shimasu,麻煩辦理退房。,退房時到前台說的第一句，結完帳後記得退還房卡。
飯店住宿,領収書をください。,りょうしゅうしょをください,Ryōshūsho o kudasai,請給我收據。,出差報帳時必備，日本正式收據可填寫公司名稱（宛名），記得確認。
飯店住宿,とても良い滞在でした。,とてもよいたいざいでした,Totemo yoi taizai deshita,住得非常舒適。,退房時表達滿意，「滞在（たいざい）」是停留住宿的期間，對方聽到一定很開心。
服飾購物,何かお探しですか？,なにかおさがしですか,Nanika osagashi desu ka,請問您在找什麼？,「お探し（おさがし）」是「探す（さがす）」的敬語名詞形，店員主動問候客人時使用。
服飾購物,見ているだけです。,みているだけです,Mite iru dake desu,我只是看看。,「〜だけ」是「只是…」，婉拒店員接待的禮貌說法，讓自己能自在瀏覽。
服飾購物,これを試着してもいいですか？,これをしちゃくしてもいいですか,Kore o shichaku shite mo ii desu ka,可以試穿這件嗎？,「試着（しちゃく）」是試穿，「〜してもいいですか」是詢問許可的重要句型。
服飾購物,試着室はどこですか？,しちゃくしつはどこですか,Shichakushitsu wa doko desu ka,試衣間在哪裡？,「試着室（しちゃくしつ）」是試衣間，「室（しつ）」是房間的意思。
服飾購物,別の色はありますか？,べつのいろはありますか,Betsu no iro wa arimasu ka,有別的顏色嗎？,「別（べつ）の」是「其他的、另外的」，可換成「柄（がら）圖案」、「デザイン款式」。
服飾購物,Mサイズはありますか？,えむさいずはありますか,Emu saizu wa arimasu ka,有M號嗎？,日本尺寸標示：SS・S・M・L・XL，日本尺寸通常比台灣小一號，記得先確認。
服飾購物,これは大きすぎます。,これはおおきすぎます,Kore wa ōki sugimasu,這個太大了。,「〜すぎます」是「太…了」的句型，如「小さすぎます（ちいさすぎます）太小了」。
服飾購物,もう少し小さいのはありますか？,もうすこしちいさいのはありますか,Mō sukoshi chiisai no wa arimasu ka,有再小一點的嗎？,「もう少し（もうすこし）」是「再稍微一點」，「〜の」是代替前面說到的物品。
服飾購物,これをください。,これをください,Kore o kudasai,我要這個。,決定購買時最直接的說法，「これ（這個）、それ（那個）、あれ（那個-遠）」視距離替換。
服飾購物,セールはいつですか？,せーるはいつですか,Sēru wa itsu desu ka,什麼時候有特賣？,「セール」是英語Sale，「いつ」是「什麼時候」，想等打折時可以詢問。
服飾購物,プレゼント用に包んでもらえますか？,ぷれぜんとようにつつんでもらえますか,Purezento-yō ni tsutsunde moraemasu ka,可以幫我包成禮物嗎？,「〜用（よう）に」表示用途，「包む（つつむ）」是包裝，日本百貨包裝精美，記得開口要求。
服飾購物,返品できますか？,へんぴんできますか,Henpin dekimasu ka,可以退貨嗎？,「返品（へんぴん）」是退貨，「〜できますか」詢問是否可行，購買前先確認退換貨政策。
服飾購物,交換できますか？,こうかんできますか,Kōkan dekimasu ka,可以換貨嗎？,「交換（こうかん）」是交換、換貨，日本通常需保留收據，且有一定期限。
服飾購物,この素材は何ですか？,このそざいはなんですか,Kono sozai wa nan desu ka,這個材質是什麼？,「素材（そざい）」是材質，有過敏體質或特定需求時務必確認，標籤通常也有寫。
服飾購物,これは洗濯機で洗えますか？,これはせんたくきであらえますか,Kore wa sentakuki de araemasu ka,這個可以用洗衣機洗嗎？,「洗濯機（せんたくき）」是洗衣機，「洗える（あらえる）」是能洗的意思。
服飾購物,似合いますか？,にあいますか,Niaimasu ka,適合我嗎？,「似合う（にあう）」是適合、配合，詢問店員意見，通常會得到溫暖的回應。
服飾購物,少し考えます。,すこしかんがえます,Sukoshi kangaemasu,我再考慮一下。,「考える（かんがえる）」是思考、考慮，不想馬上買又不想直接拒絕時使用，非常有禮貌。
服飾購物,これを取り置きしてもらえますか？,これをとりおきしてもらえますか,Kore o torioki shite moraemasu ka,可以幫我保留這個嗎？,「取り置き（とりおき）」是保留商品，暫時不買但希望對方留著等自己決定。
服飾購物,免税できますか？,めんぜいできますか,Menzei dekimasu ka,可以免稅嗎？,「免税（めんぜい）」是退稅、免稅，外國旅客購物滿一定金額可辦理，記得攜帶護照。
服飾購物,パスポートを見せてください。,ぱすぽーとをみせてください,Pasupōto o misete kudasai,請出示護照。,辦理免稅時店員常說的話，「見せる（みせる）」是出示、展示的意思，了解此句可提前準備。
醫院藥局,診察を受けたいのですが。,しんさつをうけたいのですが,Shinsatsu o uketai no desu ga,我想要看診。,「〜たいのですが」是「想要…」的婉轉說法，句尾「が」帶有期待對方接著回應的語氣。
醫院藥局,頭が痛いです。,あたまがいたいです,Atama ga itai desu,我頭痛。,「〇〇が痛い（いたい）」是描述身體疼痛的固定句型，〇〇換成部位即可。
醫院藥局,お腹が痛いです。,おなかがいたいです,Onaka ga itai desu,我肚子痛。,「お腹（おなか）」是肚子，其他：喉（のど）喉嚨、背中（せなか）背部、歯（は）牙齒。
醫院藥局,熱があります。,ねつがあります,Netsu ga arimasu,我發燒了。,「熱（ねつ）」是發燒，可加說「38度あります（38度高燒）」讓醫生更清楚掌握狀況。
醫院藥局,咳が出ます。,せきがでます,Seki ga demasu,我在咳嗽。,「咳（せき）」是咳嗽，「出る（でる）」用在症狀表達，如流鼻水（鼻水が出る）也適用。
醫院藥局,昨日から具合が悪いです。,きのうからぐあいがわるいです,Kinō kara guai ga warui desu,從昨天開始身體不舒服。,「具合が悪い（ぐあいがわるい）」是「身體狀況不好」，說明症狀起始時間幫助醫生診斷。
醫院藥局,アレルギーはありますか？,あれるぎーはありますか,Arerugī wa arimasu ka,您有過敏嗎？,醫生或護士常問的問題，準備好回答「あります（有）」或「ありません（沒有）」。
醫院藥局,薬のアレルギーがあります。,くすりのあれるぎーがあります,Kusuri no arerugī ga arimasu,我對藥物過敏。,「薬（くすり）」是藥物，事先準備好自己的過敏資訊，就醫時非常重要。
醫院藥局,保険証はありますか？,ほけんしょうはありますか,Hokenshō wa arimasu ka,有健保卡嗎？,外國人通常沒有，可說「ありません、旅行者です（我是旅遊者）」。
醫院藥局,海外旅行保険に入っています。,かいがいりょこうほけんにはいっています,Kaigai ryokō hoken ni haitte imasu,我有購買海外旅行保險。,「海外旅行保険（かいがいりょこうほけん）」是海外旅遊保險，出發前務必投保。
醫院藥局,この薬はいつ飲みますか？,このくすりはいつのみますか,Kono kusuri wa itsu nomimasu ka,這個藥什麼時候吃？,「飲む（のむ）」除喝飲料外，也用於服藥，「いつ」是「什麼時候」。
醫院藥局,食後に飲んでください。,しょくごにのんでください,Shokugo ni nonde kudasai,請飯後服用。,「食後（しょくご）」飯後、「食前（しょくぜん）」飯前、「食間（しょっかん）」兩餐之間。
醫院藥局,一日三回飲んでください。,いちにちさんかいのんでください,Ichinichi san-kai nonde kudasai,請一天服用三次。,「一日（いちにち）」一天，「〇回（かい）」表示次數，如「一回（いっかい）一次」。
醫院藥局,風邪薬はありますか？,かぜぐすりはありますか,Kazegusuri wa arimasu ka,有感冒藥嗎？,「風邪（かぜ）」是感冒，日本藥局有很多非處方感冒藥，是很熱門的伴手禮。
醫院藥局,痛み止めをください。,いたみどめをください,Itamidome o kudasai,請給我止痛藥。,「痛み止め（いたみどめ）」是止痛藥，「胃薬（いぐすり）」是胃藥，「下痢止め（げりどめ）」是止瀉藥。
醫院藥局,処方箋はありますか？,しょほうせんはありますか,Shohōsen wa arimasu ka,有處方箋嗎？,「処方箋（しょほうせん）」是醫生開立的處方單，部分藥物需憑處方才能購買。
醫院藥局,副作用はありますか？,ふくさようはありますか,Fukusayō wa arimasu ka,有副作用嗎？,「副作用（ふくさよう）」是副作用，服藥前詢問藥師是好習慣。
醫院藥局,領収書をください。,りょうしゅうしょをください,Ryōshūsho o kudasai,請給我收據。,海外就醫後需要收據向保險公司申請理賠，記得一定要索取正式收據。
醫院藥局,英語が話せる医者はいますか？,えいごがはなせるいしゃはいますか,Eigo ga hanaseru isha wa imasu ka,有會說英語的醫生嗎？,「話せる（はなせる）」是「能說」，詢問是否能說中文也可換成「中国語（ちゅうごくご）」。
醫院藥局,救急車を呼んでください！,きゅうきゅうしゃをよんでください,Kyūkyūsha o yonde kudasai,請叫救護車！,日本救護車免費，緊急時打119，「呼ぶ（よぶ）」是呼叫，這是最重要的緊急句子。
自我介紹,はじめまして。,はじめまして,Hajimemashite,初次見面。,第一次見面的固定開場語，每次初識新朋友必說，不說會顯得失禮。
自我介紹,私は〇〇です。,わたしは〇〇です,Watashi wa 〇〇 desu,我是〇〇。,最基本的自我介紹句，「私（わたし）」是我，〇〇填入自己的名字即可。
自我介紹,〇〇と申します。,〇〇ともうします,〇〇 to mōshimasu,我叫〇〇（鄭重說法）。,「申す（もうす）」是「言う（いう）說」的謙讓語，比「〜です」更正式，正式場合使用。
自我介紹,台湾から来ました。,たいわんからきました,Taiwan kara kimashita,我從台灣來。,「〜から来ました」表示從哪裡來，「から」是「從」，說明自己的來自地。
自我介紹,今、台北に住んでいます。,いま、たいぺいにすんでいます,Ima Taipei ni sunde imasu,我現在住在台北。,「〜に住んでいます（すんでいます）」是「住在〜」的表達方式，「に」表示存在地點。
自我介紹,よろしくお願いします。,よろしくおねがいします,Yoroshiku onegai shimasu,請多多關照。,自我介紹結束時的固定用語，表示「請多指教、請多關照」，是日本文化中非常重要的句子！
自我介紹,お名前は何ですか？,おなまえはなんですか,O-namae wa nan desu ka,請問您叫什麼名字？,「お名前（おなまえ）」是「名前（なまえ）名字」加上敬語前綴「お」，禮貌詢問對方姓名。
自我介紹,何歳ですか？,なんさいですか,Nan-sai desu ka,您幾歲？,「何歳（なんさい）」是幾歲，通常在較熟悉的場合使用，初次見面直接問年齡稍不禮貌。
自我介紹,お仕事は何ですか？,おしごとはなんですか,O-shigoto wa nan desu ka,您做什麼工作？,「お仕事（おしごと）」是「仕事（しごと）工作」的敬語，日本人初次見面常聊職業。
